#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Lin says : " Radio the second you see those airbenders . " 
1-1	0-3	Lin	*	PER	*->2-1	*[2]
6-1	167-168	"	_	_	*->9-1	*[9]
6-2	169-175	Tonraq	*	PER	*->9-1	*[9]
6-3	176-180	says	_	_	_	_
6-4	181-182	:	_	_	_	_
6-5	183-184	"	_	_	_	_
6-6	185-190	Korra	_	_	_	_
6-7	191-192	.	_	_	_	_

#Text=" Korra says : " Do n't worry , Dad . 
7-1	193-194	"	_	_	_	_
7-2	195-200	Korra	*	PER	_	_
7-3	201-205	says	_	_	_	_
7-4	206-207	:	_	_	_	_
7-5	208-209	"	_	_	_	_
7-6	210-212	Do	_	_	_	_
7-7	213-216	n't	_	_	_	_
7-8	217-222	worry	_	_	_	_
7-9	223-224	,	_	_	_	_
7-10	225-228	Dad	_	_	*->10-1	*[10]
7-11	229-230	.	_	_	_	_

#Text=I 'll be all right . 
8-1	231-232	I	_	_	_	_
8-2	233-236	'll	_	_	_	_
8-3	237-239	be	_	_	_	_
8-4	240-243	all	_	_	_	_
8-5	244-249	right	_	_	_	_
8-6	250-251	.	_	_	_	_

#Text=" Tonraq says : " I just want you to know how proud I am of you . 
9-1	252-253	"	_	_	_	_
9-2	254-260	Tonraq	*	PER	*->9-2	*[9]
9-3	261-265	says	_	_	_	_
9-4	266-267	:	_	_	_	_
9-5	268-269	"	_	_	_	_
9-6	270-271	I	_	_	*->9-3	*[9]
9-7	272-276	just	_	_	_	_
9-8	277-281	want	_	_	_	_
9-9	282-285	you	_	_	*->12-1	*[12]
9-10	286-288	to	_	_	_	_
9-11	289-293	know	_	_	_	_
9-12	294-297	how	_	_	_	_
9-13	298-303	proud	_	_	_	_
9-14	304-305	I	_	_	*->9-4	*[9]
9-15	306-308	am	_	_	_	_
9-16	309-311	of	_	_	_	_
9-17	312-315	you	_	_	*->12-2	*[12]
9-18	316-317	.	_	_	_	_

#Text=The risk you 're taking to save the Air Nation will be remembered for generations . 
10-1	318-321	The	_	_	_	_
10-2	322-326	risk	_	_	_	_
10-3	327-330	you	_	_	*->12-3	*[12]
10-4	331-334	're	_	_	_	_
10-5	335-341	taking	_	_	_	_
10-6	342-344	to	_	_	_	_
10-7	345-349	save	_	_	_	_
10-8	350-353	the	_	_	_	_
10-9	354-357	Air	_	_	_	_
10-10	358-364	Nation	_	_	_	_
10-11	365-369	will	_	_	_	_
10-12	370-372	be	_	_	_	_
10-13	373-383	remembered	_	_	_	_
10-14	384-387	for	_	_	_	_
10-15	388-399	generations	_	_	_	_
10-16	400-401	.	_	_	_	_

#Text=" Korra says : " I love you , Dad . 
11-1	402-403	"	_	_	_	_
11-2	404-409	Korra	*	PER	_	_
11-3	410-414	says	_	_	_	_
11-4	415-416	:	_	_	_	_
11-5	417-418	"	_	_	_	_
11-6	419-420	I	_	_	_	_
11-7	421-425	love	_	_	_	_
11-8	426-429	you	_	_	*->15-1	*[15]
11-9	430-431	,	_	_	_	_
11-10	432-435	Dad	_	_	*->10-2	*[10]
11-11	436-437	.	_	_	_	_

#Text=" Tonraq says : " I love you too , sweetheart . 
12-1	438-439	"	_	_	_	_
12-2	440-446	Tonraq	*	PER	*->9-5	*[9]
12-3	447-451	says	_	_	_	_
12-4	452-453	:	_	_	_	_
12-5	454-455	"	_	_	_	_
12-6	456-457	I	_	_	*->9-6	*[9]
12-7	458-462	love	_	_	_	_
12-8	463-466	you	_	_	*->12-4	*[12]
12-9	467-470	too	_	_	_	_
12-10	471-472	,	_	_	_	_
12-11	473-483	sweetheart	_	_	_	_
12-12	484-485	.	_	_	_	_

#Text=" Korra says : " And Dad , watch out for Zaheer . 
13-1	486-487	"	_	_	_	_
13-2	488-493	Korra	*	PER	_	_
13-3	494-498	says	_	_	_	_
13-4	499-500	:	_	_	_	_
13-5	501-502	"	_	_	_	_
13-6	503-506	And	_	_	*->10-3	*[10]
13-7	507-510	Dad	_	_	*->10-3	*[10]
13-8	511-512	,	_	_	_	_
13-9	513-518	watch	_	_	_	_
13-10	519-522	out	_	_	_	_
13-11	523-526	for	_	_	_	_
13-12	527-533	Zaheer	*	PER	*->17-1	*[17]
13-13	534-535	.	_	_	_	_

#Text=He 's not very fond of world leaders . 
14-1	536-538	He	_	_	*->10-5	*[10]
14-2	539-541	's	_	_	_	_
14-3	542-545	not	_	_	_	_
14-4	546-550	very	_	_	_	_
14-5	551-555	fond	_	_	_	_
14-6	556-558	of	_	_	_	_
14-7	559-564	world	_	_	_	_
14-8	565-572	leaders	_	_	_	_
14-9	573-574	.	_	_	_	_

#Text=" Tonraq says : " I can handle him . 
15-1	575-576	"	_	_	_	_
15-2	577-583	Tonraq	*	PER	*->9-7	*[9]
15-3	584-588	says	_	_	_	_
15-4	589-590	:	_	_	_	_
15-5	591-592	"	_	_	_	_
15-6	593-594	I	_	_	*->9-8	*[9]
15-7	595-598	can	_	_	_	_
15-8	599-605	handle	_	_	_	_
15-9	606-609	him	_	_	*->10-6	*[10]
15-10	610-611	.	_	_	_	_

#Text=Just stay focused on your mission . 
16-1	612-616	Just	_	_	_	_
16-2	617-621	stay	_	_	_	_
16-3	622-629	focused	_	_	_	_
16-4	630-632	on	_	_	_	_
16-5	633-637	your	_	_	*->12-5	*[12]
16-6	638-645	mission	_	_	_	_
16-7	646-647	.	_	_	_	_

#Text=" Bolin says : " Oh , man . 
17-1	648-649	"	_	_	_	_
17-2	650-655	Bolin	*	PER	_	_
17-3	656-660	says	_	_	_	_
17-4	661-662	:	_	_	_	_
17-5	663-664	"	_	_	_	_
17-6	665-667	Oh	_	_	_	_
17-7	668-669	,	_	_	_	_
17-8	670-673	man	_	_	_	_
17-9	674-675	.	_	_	_	_

#Text=" Mako says : " Must have been some fight . 
18-1	676-677	"	_	_	_	_
18-2	678-682	Mako	*	PER	*->5-3	*[5]
18-3	683-687	says	_	_	_	_
18-4	688-689	:	_	_	_	_
18-5	690-691	"	_	_	_	_
18-6	692-696	Must	_	_	_	_
18-7	697-701	have	_	_	_	_
18-8	702-706	been	_	_	_	_
18-9	707-711	some	_	_	_	_
18-10	712-717	fight	_	_	_	_
18-11	718-719	.	_	_	_	_

#Text=" Korra says : " Mako , did you see the airbenders ? 
19-1	720-721	"	_	_	_	_
19-2	722-727	Korra	*	PER	_	_
19-3	728-732	says	_	_	_	_
19-4	733-734	:	_	_	_	_
19-5	735-736	"	_	_	_	_
19-6	737-741	Mako	_	_	*->5-4	*[5]
19-7	742-743	,	_	_	_	_
19-8	744-747	did	_	_	_	_
19-9	748-751	you	_	_	*->15-2	*[15]
19-10	752-755	see	_	_	_	_
19-11	756-759	the	_	_	*->4-2	*[4]
19-12	760-770	airbenders	_	_	*->4-2	*[4]
19-13	771-772	?	_	_	_	_

#Text=" Mako says : " Not yet . 
20-1	773-774	"	_	_	_	_
20-2	775-779	Mako	*	PER	*->5-5	*[5]
20-3	780-784	says	_	_	_	_
20-4	785-786	:	_	_	_	_
20-5	787-788	"	_	_	_	_
20-6	789-792	Not	_	_	_	_
20-7	793-796	yet	_	_	_	_
20-8	797-798	.	_	_	_	_

#Text=We 're just arriving . 
21-1	799-801	We	_	_	*->15-3	*[15]
21-2	802-805	're	_	_	_	_
21-3	806-810	just	_	_	_	_
21-4	811-819	arriving	_	_	_	_
21-5	820-821	.	_	_	_	_

#Text=Do n't turn yourself over until I get a visual on them . 
22-1	822-824	Do	_	_	_	_
22-2	825-828	n't	_	_	_	_
22-3	829-833	turn	_	_	_	_
22-4	834-842	yourself	_	_	*->18-1	*[18]
22-5	843-847	over	_	_	_	_
22-6	848-853	until	_	_	_	_
22-7	854-855	I	_	_	*->5-6	*[5]
22-8	856-859	get	_	_	_	_
22-9	860-861	a	_	_	_	_
22-10	862-868	visual	_	_	_	_
22-11	869-871	on	_	_	_	_
22-12	872-876	them	_	_	*->4-3	*[4]
22-13	877-878	.	_	_	_	_

#Text=" Ghazan says : " This way . 
23-1	879-880	"	_	_	_	_
23-2	881-887	Ghazan	*	PER	*->19-1	*[19]
23-3	888-892	says	_	_	_	_
23-4	893-894	:	_	_	_	_
23-5	895-896	"	_	_	_	_
23-6	897-901	This	_	_	_	_
23-7	902-905	way	_	_	_	_
23-8	906-907	.	_	_	_	_

#Text=You want the airbenders , or not ? 
24-1	908-911	You	_	_	*->5-7	*[5]
24-2	912-916	want	_	_	_	_
24-3	917-920	the	_	_	*->4-4	*[4]
24-4	921-931	airbenders	_	_	*->4-4	*[4]
24-5	932-933	,	_	_	_	_
24-6	934-936	or	_	_	_	_
24-7	937-940	not	_	_	_	_
24-8	941-942	?	_	_	_	_

#Text=" Zaheer says : " Drop your staff and surrender yourself . 
25-1	943-944	"	_	_	_	_
25-2	945-951	Zaheer	*	PER	*->17-2	*[17]
25-3	952-956	says	_	_	_	_
25-4	957-958	:	_	_	_	_
25-5	959-960	"	_	_	_	_
25-6	961-965	Drop	_	_	_	_
25-7	966-970	your	_	_	*->1-1	*[1]
25-8	971-976	staff	_	_	*->1-1	*[1]
25-9	977-980	and	_	_	*->1-1	*[1]
25-10	981-990	surrender	_	_	*->1-1	*[1]
25-11	991-999	yourself	_	_	*->1-1	*[1]
25-12	1000-1001	.	_	_	_	_

#Text=Do n't make me come get you . 
26-1	1002-1004	Do	_	_	_	_
26-2	1005-1008	n't	_	_	_	_
26-3	1009-1013	make	_	_	_	_
26-4	1014-1016	me	_	_	*->17-3	*[17]
26-5	1017-1021	come	_	_	_	_
26-6	1022-1025	get	_	_	_	_
26-7	1026-1029	you	_	_	*->3-3	*[3]
26-8	1030-1031	.	_	_	_	_

#Text=" Korra says : " Mako , what 's going on ? 
27-1	1032-1033	"	_	_	_	_
27-2	1034-1039	Korra	*	PER	_	_
27-3	1040-1044	says	_	_	_	_
27-4	1045-1046	:	_	_	_	_
27-5	1047-1048	"	_	_	_	_
27-6	1049-1053	Mako	_	_	*->5-8	*[5]
27-7	1054-1055	,	_	_	_	_
27-8	1056-1060	what	_	_	_	_
27-9	1061-1063	's	_	_	_	_
27-10	1064-1069	going	_	_	_	_
27-11	1070-1072	on	_	_	_	_
27-12	1073-1074	?	_	_	_	_

#Text=" Mako says : " They 're here . 
28-1	1075-1076	"	_	_	_	_
28-2	1077-1081	Mako	*	PER	*->5-9	*[5]
28-3	1082-1086	says	_	_	_	_
28-4	1087-1088	:	_	_	_	_
28-5	1089-1090	"	_	_	_	_
28-6	1091-1095	They	_	_	*->1-2	*[1]
28-7	1096-1099	're	_	_	_	_
28-8	1100-1104	here	_	_	_	_
28-9	1105-1106	.	_	_	_	_

#Text=And so is the lavabender . 
29-1	1107-1110	And	_	_	_	_
29-2	1111-1113	so	_	_	_	_
29-3	1114-1116	is	_	_	_	_
29-4	1117-1120	the	_	_	_	_
29-5	1121-1131	lavabender	_	_	_	_
29-6	1132-1133	.	_	_	_	_

#Text=" Korra says : " Tell Ghazan to let the airbenders go . 
30-1	1134-1135	"	_	_	_	_
30-2	1136-1141	Korra	*	PER	_	_
30-3	1142-1146	says	_	_	_	_
30-4	1147-1148	:	_	_	_	_
30-5	1149-1150	"	_	_	_	_
30-6	1151-1155	Tell	_	_	_	_
30-7	1156-1162	Ghazan	_	_	*->19-2	*[19]
30-8	1163-1165	to	_	_	_	_
30-9	1166-1169	let	_	_	_	_
30-10	1170-1173	the	_	_	*->4-5	*[4]
30-11	1174-1184	airbenders	_	_	*->4-5	*[4]
30-12	1185-1187	go	_	_	_	_
30-13	1188-1189	.	_	_	_	_

#Text=" Zaheer says : " Not 'til you turn yourself over . 
31-1	1190-1191	"	_	_	_	_
31-2	1192-1198	Zaheer	*	PER	*->17-4	*[17]
31-3	1199-1203	says	_	_	_	_
31-4	1204-1205	:	_	_	_	_
31-5	1206-1207	"	_	_	_	_
31-6	1208-1211	Not	_	_	_	_
31-7	1212-1216	'til	_	_	_	_
31-8	1217-1220	you	_	_	*->3-4	*[3]
31-9	1221-1225	turn	_	_	_	_
31-10	1226-1234	yourself	_	_	*->3-5	*[3]
31-11	1235-1239	over	_	_	_	_
31-12	1240-1241	.	_	_	_	_

#Text=This is n't a negotiation . 
32-1	1242-1246	This	_	_	*->11-2	*[11]
32-2	1247-1249	is	_	_	_	_
32-3	1250-1253	n't	_	_	_	_
32-4	1254-1255	a	_	_	*->11-1	*[11]
32-5	1256-1267	negotiation	_	_	*->11-1	*[11]
32-6	1268-1269	.	_	_	_	_

#Text=Wipe them out ! 
33-1	1270-1274	Wipe	_	_	_	_
33-2	1275-1279	them	_	_	*->4-6	*[4]
33-3	1280-1283	out	_	_	_	_
33-4	1284-1285	!	_	_	_	_

#Text=" Korra says : " No ! 
34-1	1286-1287	"	_	_	*->8-1	*[8]
34-2	1288-1293	Korra	*	PER	*->8-1	*[8]
34-3	1294-1298	says	_	_	_	_
34-4	1299-1300	:	_	_	_	_
34-5	1301-1302	"	_	_	_	_
34-6	1303-1305	No	_	_	_	_
34-7	1306-1307	!	_	_	_	_

#Text=Wait . 
35-1	1308-1312	Wait	_	_	_	_
35-2	1313-1314	.	_	_	_	_

#Text=I 'm coming . 
36-1	1315-1316	I	_	_	*->17-5	*[17]
36-2	1317-1319	'm	_	_	_	_
36-3	1320-1326	coming	_	_	_	_
36-4	1327-1328	.	_	_	_	_

#Text=" Zaheer says : " Stand down . 
37-1	1329-1330	"	_	_	_	_
37-2	1331-1337	Zaheer	*	PER	*->17-6	*[17]
37-3	1338-1342	says	_	_	_	_
37-4	1343-1344	:	_	_	_	_
37-5	1345-1346	"	_	_	_	_
37-6	1347-1352	Stand	_	_	_	_
37-7	1353-1357	down	_	_	_	_
37-8	1358-1359	.	_	_	_	_

#Text=" P'Li says : " Do n't bother trying to metalbend out of these : they 're platinum . 
38-1	1360-1361	"	_	_	_	_
38-2	1362-1366	P'Li	_	_	*->13-1	*[13]
38-3	1367-1371	says	_	_	_	_
38-4	1372-1373	:	_	_	_	_
38-5	1374-1375	"	_	_	_	_
38-6	1376-1378	Do	_	_	_	_
38-7	1379-1382	n't	_	_	_	_
38-8	1383-1389	bother	_	_	_	_
38-9	1390-1396	trying	_	_	_	_
38-10	1397-1399	to	_	_	_	_
38-11	1400-1409	metalbend	_	_	_	_
38-12	1410-1413	out	_	_	_	_
38-13	1414-1416	of	_	_	_	_
38-14	1417-1422	these	_	_	*->14-1	*[14]
38-15	1423-1424	:	_	_	_	_
38-16	1425-1429	they	_	_	*->14-2	*[14]
38-17	1430-1433	're	_	_	_	_
38-18	1434-1442	platinum	_	_	_	_
38-19	1443-1444	.	_	_	_	_

#Text=" Zaheer says : " We have her . 
39-1	1445-1446	"	_	_	_	_
39-2	1447-1453	Zaheer	*	PER	*->17-7	*[17]
39-3	1454-1458	says	_	_	_	_
39-4	1459-1460	:	_	_	_	_
39-5	1461-1462	"	_	_	_	_
39-6	1463-1465	We	_	_	*->14-3	*[14]
39-7	1466-1470	have	_	_	_	_
39-8	1471-1474	her	_	_	*->13-2	*[13]
39-9	1475-1476	.	_	_	_	_

#Text=" Asami says : " It 's okay , Tenzin . 
40-1	1477-1478	"	_	_	_	_
40-2	1479-1484	Asami	*	PER	*->7-3	*[7]
40-3	1485-1489	says	_	_	_	_
40-4	1490-1491	:	_	_	_	_
40-5	1492-1493	"	_	_	_	_
40-6	1494-1496	It	_	_	_	_
40-7	1497-1499	's	_	_	_	_
40-8	1500-1504	okay	_	_	_	_
40-9	1505-1506	,	_	_	_	_
40-10	1507-1513	Tenzin	*	PER	_	_
40-11	1514-1515	.	_	_	_	_

#Text=We 're about to get you out of here . 
41-1	1516-1518	We	_	_	*->14-4	*[14]
41-2	1519-1522	're	_	_	_	_
41-3	1523-1528	about	_	_	_	_
41-4	1529-1531	to	_	_	_	_
41-5	1532-1535	get	_	_	_	_
41-6	1536-1539	you	_	_	*->17-8	*[17]
41-7	1540-1543	out	_	_	_	_
41-8	1544-1546	of	_	_	_	_
41-9	1547-1551	here	_	_	_	_
41-10	1552-1553	.	_	_	_	_

#Text=" Mako says : " Korra , it was a trick ! 
42-1	1554-1555	"	_	_	_	_
42-2	1556-1560	Mako	*	PER	*->5-10	*[5]
42-3	1561-1565	says	_	_	_	_
42-4	1566-1567	:	_	_	_	_
42-5	1568-1569	"	_	_	_	_
42-6	1570-1575	Korra	_	_	*->8-13	*[8]
42-7	1576-1577	,	_	_	_	_
42-8	1578-1580	it	_	_	*->16-3	*[16]
42-9	1581-1584	was	_	_	_	_
42-10	1585-1586	a	_	_	*->16-1	*[16]
42-11	1587-1592	trick	_	_	*->16-1	*[16]
42-12	1593-1594	!	_	_	_	_

#Text=They 're not here . 
43-1	1595-1599	They	_	_	*->14-5	*[14]
43-2	1600-1603	're	_	_	_	_
43-3	1604-1607	not	_	_	_	_
43-4	1608-1612	here	_	_	_	_
43-5	1613-1614	.	_	_	_	_

#Text=Do n't turn yourself over ! 
44-1	1615-1617	Do	_	_	_	_
44-2	1618-1621	n't	_	_	_	_
44-3	1622-1626	turn	_	_	_	_
44-4	1627-1635	yourself	_	_	*->18-2	*[18]
44-5	1636-1640	over	_	_	_	_
44-6	1641-1642	!	_	_	_	_

#Text=" Korra says : " We had a deal ! 
45-1	1643-1644	"	_	_	_	_
45-2	1645-1650	Korra	*	PER	*->8-14	*[8]
45-3	1651-1655	says	_	_	_	_
45-4	1656-1657	:	_	_	_	_
45-5	1658-1659	"	_	_	_	_
45-6	1660-1662	We	_	_	*->18-3	*[18]
45-7	1663-1666	had	_	_	_	_
45-8	1667-1668	a	_	_	_	_
45-9	1669-1673	deal	_	_	_	_
45-10	1674-1675	!	_	_	_	_

#Text=" Mako says : " Chief , get Korra out of there . 
46-1	1676-1677	"	_	_	_	_
46-2	1678-1682	Mako	*	PER	*->5-11	*[5]
46-3	1683-1687	says	_	_	_	_
46-4	1688-1689	:	_	_	_	_
46-5	1690-1691	"	_	_	_	_
46-6	1692-1697	Chief	_	_	*->6-2	*[6]
46-7	1698-1699	,	_	_	_	_
46-8	1700-1703	get	_	_	_	_
46-9	1704-1709	Korra	*	PER	*->8-15	*[8]
46-10	1710-1713	out	_	_	_	_
46-11	1714-1716	of	_	_	_	_
46-12	1717-1722	there	_	_	_	_
46-13	1723-1724	.	_	_	_	_

#Text=Now ! 
47-1	1725-1728	Now	_	_	_	_
47-2	1729-1730	!	_	_	_	_

#Text=" Lin says : " Go ! 
48-1	1731-1732	"	_	_	_	_
48-2	1733-1736	Lin	*	PER	*->2-2	*[2]
48-3	1737-1741	says	_	_	_	_
48-4	1742-1743	:	_	_	_	_
48-5	1744-1745	"	_	_	_	_
48-6	1746-1748	Go	_	_	_	_
48-7	1749-1750	!	_	_	_	_

#Text=Go ! 
49-1	1751-1753	Go	_	_	_	_
49-2	1754-1755	!	_	_	_	_

#Text=" P'Li says : " Get the Avatar on the airship . 
50-1	1756-1757	"	_	_	_	_
50-2	1758-1762	P'Li	_	_	*->13-3	*[13]
50-3	1763-1767	says	_	_	_	_
50-4	1768-1769	:	_	_	_	_
50-5	1770-1771	"	_	_	_	_
50-6	1772-1775	Get	_	_	_	_
50-7	1776-1779	the	_	_	_	_
50-8	1780-1786	Avatar	_	_	_	_
50-9	1787-1789	on	_	_	_	_
50-10	1790-1793	the	_	_	_	_
50-11	1794-1801	airship	_	_	_	_
50-12	1802-1803	.	_	_	_	_

#Text=I 'll deal with them . 
51-1	1804-1805	I	_	_	*->13-4	*[13]
51-2	1806-1809	'll	_	_	_	_
51-3	1810-1814	deal	_	_	_	_
51-4	1815-1819	with	_	_	_	_
51-5	1820-1824	them	_	_	_	_
51-6	1825-1826	.	_	_	_	_

#Text=" Tonraq says : " Nowhere to go , Zaheer ! 
52-1	1827-1828	"	_	_	_	_
52-2	1829-1835	Tonraq	*	PER	*->9-9	*[9]
52-3	1836-1840	says	_	_	_	_
52-4	1841-1842	:	_	_	_	_
52-5	1843-1844	"	_	_	_	_
52-6	1845-1852	Nowhere	_	_	_	_
52-7	1853-1855	to	_	_	_	_
52-8	1856-1858	go	_	_	_	_
52-9	1859-1860	,	_	_	_	_
52-10	1861-1867	Zaheer	*	PER	*->17-9	*[17]
52-11	1868-1869	!	_	_	_	_

#Text=" 
53-1	1870-1871	"	_	_	_	_
