#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Ikki says : " I 'm thirsty ! " 
1-1	0-4	Ikki	*	PER	*->1-1	*[1]
5-8	155-158	you	_	_	*->4-1	*[4]
5-9	159-162	're	_	_	_	_
5-10	163-166	all	_	_	_	_
5-11	167-170	gon	_	_	_	_
5-12	171-173	na	_	_	_	_
5-13	174-177	end	_	_	_	_
5-14	178-180	up	_	_	_	_
5-15	181-185	like	_	_	_	_
5-16	186-190	them	_	_	*->5-1	*[5]
5-17	191-192	.	_	_	_	_

#Text=" Pema says : " Sir , please . 
6-1	193-194	"	_	_	_	_
6-2	195-199	Pema	*	PER	_	_
6-3	200-204	says	_	_	_	_
6-4	205-206	:	_	_	_	_
6-5	207-208	"	_	_	_	_
6-6	209-212	Sir	_	_	_	_
6-7	213-214	,	_	_	_	_
6-8	215-221	please	_	_	_	_
6-9	222-223	.	_	_	_	_

#Text=We just ask some water . 
7-1	224-226	We	_	_	*->5-2	*[5]
7-2	227-231	just	_	_	_	_
7-3	232-235	ask	_	_	_	_
7-4	236-240	some	_	_	_	_
7-5	241-246	water	_	_	_	_
7-6	247-248	.	_	_	_	_

#Text=There are children , and a baby here . 
8-1	249-254	There	_	_	_	_
8-2	255-258	are	_	_	_	_
8-3	259-267	children	_	_	_	_
8-4	268-269	,	_	_	_	_
8-5	270-273	and	_	_	_	_
8-6	274-275	a	_	_	*->6-1	*[6]
8-7	276-280	baby	_	_	*->6-1	*[6]
8-8	281-285	here	_	_	_	_
8-9	286-287	.	_	_	_	_

#Text=" Red Lotus sentry # 1 says : " Oh , so you just called me over to attack me ? 
9-1	288-289	"	_	_	_	_
9-2	290-293	Red	_	_	_	_
9-3	294-299	Lotus	_	_	_	_
9-4	300-306	sentry	_	_	_	_
9-5	307-308	#	_	_	_	_
9-6	309-310	1	_	_	_	_
9-7	311-315	says	_	_	_	_
9-8	316-317	:	_	_	_	_
9-9	318-319	"	_	_	_	_
9-10	320-322	Oh	_	_	_	_
9-11	323-324	,	_	_	_	_
9-12	325-327	so	_	_	_	_
9-13	328-331	you	_	_	*->4-2	*[4]
9-14	332-336	just	_	_	_	_
9-15	337-343	called	_	_	_	_
9-16	344-346	me	_	_	*->6-2	*[6]
9-17	347-351	over	_	_	_	_
9-18	352-354	to	_	_	_	_
9-19	355-361	attack	_	_	_	_
9-20	362-364	me	_	_	*->6-3	*[6]
9-21	365-366	?	_	_	_	_

#Text=Fine ! 
10-1	367-371	Fine	_	_	_	_
10-2	372-373	!	_	_	_	_

#Text=Now nobody gets any water . 
11-1	374-377	Now	_	_	_	_
11-2	378-384	nobody	_	_	_	_
11-3	385-389	gets	_	_	_	_
11-4	390-393	any	_	_	_	_
11-5	394-399	water	_	_	_	_
11-6	400-401	.	_	_	_	_

#Text=I do n't know how we ended up in daycare while everyone else gets to watch the Avatar being destroyed . 
12-1	402-403	I	_	_	*->6-4	*[6]
12-2	404-406	do	_	_	_	_
12-3	407-410	n't	_	_	_	_
12-4	411-415	know	_	_	_	_
12-5	416-419	how	_	_	_	_
12-6	420-422	we	_	_	_	_
12-7	423-428	ended	_	_	_	_
12-8	429-431	up	_	_	_	_
12-9	432-434	in	_	_	_	_
12-10	435-442	daycare	_	_	_	_
12-11	443-448	while	_	_	_	_
12-12	449-457	everyone	_	_	_	_
12-13	458-462	else	_	_	_	_
12-14	463-467	gets	_	_	_	_
12-15	468-470	to	_	_	_	_
12-16	471-476	watch	_	_	_	_
12-17	477-480	the	_	_	_	_
12-18	481-487	Avatar	_	_	_	_
12-19	488-493	being	_	_	_	_
12-20	494-503	destroyed	_	_	_	_
12-21	504-505	.	_	_	_	_

#Text=I can hold a bowl of poison ! 
13-1	506-507	I	_	_	*->6-5	*[6]
13-2	508-511	can	_	_	_	_
13-3	512-516	hold	_	_	_	_
13-4	517-518	a	_	_	_	_
13-5	519-523	bowl	_	_	_	_
13-6	524-526	of	_	_	_	_
13-7	527-533	poison	_	_	_	_
13-8	534-535	!	_	_	_	_

#Text=" Red Lotus sentry # 2 says : " Hey ! 
14-1	536-537	"	_	_	_	_
14-2	538-541	Red	_	_	_	_
14-3	542-547	Lotus	_	_	_	_
14-4	548-554	sentry	_	_	_	_
14-5	555-556	#	_	_	_	_
14-6	557-558	2	_	_	_	_
14-7	559-563	says	_	_	_	_
14-8	564-565	:	_	_	_	_
14-9	566-567	"	_	_	_	_
14-10	568-571	Hey	_	_	_	_
14-11	572-573	!	_	_	_	_

#Text=What do you think you 're doing ?! 
15-1	574-578	What	_	_	_	_
15-2	579-581	do	_	_	_	_
15-3	582-585	you	_	_	*->4-3	*[4]
15-4	586-591	think	_	_	_	_
15-5	592-595	you	_	_	*->4-4	*[4]
15-6	596-599	're	_	_	_	_
15-7	600-605	doing	_	_	_	_
15-8	606-608	?!	_	_	_	_

#Text=" Opal says : " Mom ! 
16-1	609-610	"	_	_	*->7-1	*[7]
16-2	611-615	Opal	*	PER	*->7-1	*[7]
16-3	616-620	says	_	_	_	_
16-4	621-622	:	_	_	_	_
16-5	623-624	"	_	_	_	_
16-6	625-628	Mom	_	_	_	_
16-7	629-630	!	_	_	_	_

#Text=" Suyin says : " Oh , honey , I 'm so glad you 're safe . 
17-1	631-632	"	_	_	_	_
17-2	633-638	Suyin	*	PER	*->8-1	*[8]
17-3	639-643	says	_	_	_	_
17-4	644-645	:	_	_	_	_
17-5	646-647	"	_	_	_	_
17-6	648-650	Oh	_	_	_	_
17-7	651-652	,	_	_	_	_
17-8	653-658	honey	_	_	_	_
17-9	659-660	,	_	_	_	_
17-10	661-662	I	_	_	*->8-2	*[8]
17-11	663-665	'm	_	_	_	_
17-12	666-668	so	_	_	_	_
17-13	669-673	glad	_	_	_	_
17-14	674-677	you	_	_	*->7-2	*[7]
17-15	678-681	're	_	_	_	_
17-16	682-686	safe	_	_	_	_
17-17	687-688	.	_	_	_	_

#Text=" Bolin says : " Me too . 
18-1	689-690	"	_	_	_	_
18-2	691-696	Bolin	*	PER	*->9-1	*[9]
18-3	697-701	says	_	_	_	_
18-4	702-703	:	_	_	_	_
18-5	704-705	"	_	_	_	_
18-6	706-708	Me	_	_	*->9-2	*[9]
18-7	709-712	too	_	_	_	_
18-8	713-714	.	_	_	_	_

#Text=" Jinora says : " You 're alive ! 
19-1	715-716	"	_	_	_	_
19-2	717-723	Jinora	*	PER	*->10-1	*[10]
19-3	724-728	says	_	_	_	_
19-4	729-730	:	_	_	_	_
19-5	731-732	"	_	_	_	_
19-6	733-736	You	_	_	*->11-1	*[11]
19-7	737-740	're	_	_	_	_
19-8	741-746	alive	_	_	_	_
19-9	747-748	!	_	_	_	_

#Text=I ca n't believe it . 
20-1	749-750	I	_	_	*->10-2	*[10]
20-2	751-753	ca	_	_	_	_
20-3	754-757	n't	_	_	_	_
20-4	758-765	believe	_	_	_	_
20-5	766-768	it	_	_	_	_
20-6	769-770	.	_	_	_	_

#Text=" Kai says : " Why ? 
21-1	771-772	"	_	_	_	_
21-2	773-776	Kai	*	PER	*->12-1	*[12]
21-3	777-781	says	_	_	_	_
21-4	782-783	:	_	_	_	_
21-5	784-785	"	_	_	_	_
21-6	786-789	Why	_	_	_	_
21-7	790-791	?	_	_	_	_

#Text=Just because I was blown out of the sky , and fell hundreds of feet down a cliff ? 
22-1	792-796	Just	_	_	_	_
22-2	797-804	because	_	_	_	_
22-3	805-806	I	_	_	*->12-2	*[12]
22-4	807-810	was	_	_	_	_
22-5	811-816	blown	_	_	_	_
22-6	817-820	out	_	_	_	_
22-7	821-823	of	_	_	_	_
22-8	824-827	the	_	_	*->13-1	*[13]
22-9	828-831	sky	_	_	*->13-1	*[13]
22-10	832-833	,	_	_	_	_
22-11	834-837	and	_	_	_	_
22-12	838-842	fell	_	_	_	_
22-13	843-851	hundreds	_	_	*->14-1	*[14]
22-14	852-854	of	_	_	*->14-1	*[14]
22-15	855-859	feet	_	_	*->14-1	*[14]
22-16	860-864	down	_	_	_	_
22-17	865-866	a	_	_	_	_
22-18	867-872	cliff	_	_	_	_
22-19	873-874	?	_	_	_	_

#Text=Do n't you know it takes more than that to get rid of me ? 
23-1	875-877	Do	_	_	_	_
23-2	878-881	n't	_	_	_	_
23-3	882-885	you	_	_	*->10-3	*[10]
23-4	886-890	know	_	_	_	_
23-5	891-893	it	_	_	*->13-2	*[13]
23-6	894-899	takes	_	_	_	_
23-7	900-904	more	_	_	_	_
23-8	905-909	than	_	_	_	_
23-9	910-914	that	_	_	*->10-4	*[10]
23-10	915-917	to	_	_	_	_
23-11	918-921	get	_	_	_	_
23-12	922-925	rid	_	_	_	_
23-13	926-928	of	_	_	_	_
23-14	929-931	me	_	_	*->12-3	*[12]
23-15	932-933	?	_	_	_	_

#Text=" Lin says : " We have to get these two out of here now . 
24-1	934-935	"	_	_	_	_
24-2	936-939	Lin	*	PER	*->15-1	*[15]
24-3	940-944	says	_	_	_	_
24-4	945-946	:	_	_	_	_
24-5	947-948	"	_	_	_	_
24-6	949-951	We	_	_	*->14-2	*[14]
24-7	952-956	have	_	_	_	_
24-8	957-959	to	_	_	_	_
24-9	960-963	get	_	_	_	_
24-10	964-969	these	_	_	_	_
24-11	970-973	two	_	_	_	_
24-12	974-977	out	_	_	_	_
24-13	978-980	of	_	_	_	_
24-14	981-985	here	_	_	_	_
24-15	986-989	now	_	_	_	_
24-16	990-991	.	_	_	_	_

#Text=They do n't look so good . 
25-1	992-996	They	_	_	_	_
25-2	997-999	do	_	_	_	_
25-3	1000-1003	n't	_	_	_	_
25-4	1004-1008	look	_	_	_	_
25-5	1009-1011	so	_	_	_	_
25-6	1012-1016	good	_	_	_	_
25-7	1017-1018	.	_	_	_	_

#Text=" Bumi says : " What are you talking about ? 
26-1	1019-1020	"	_	_	_	_
26-2	1021-1025	Bumi	*	PER	*->16-1	*[16]
26-3	1026-1030	says	_	_	_	_
26-4	1031-1032	:	_	_	_	_
26-5	1033-1034	"	_	_	_	_
26-6	1035-1039	What	_	_	_	_
26-7	1040-1043	are	_	_	_	_
26-8	1044-1047	you	_	_	*->15-2	*[15]
26-9	1048-1055	talking	_	_	_	_
26-10	1056-1061	about	_	_	_	_
26-11	1062-1063	?	_	_	_	_

#Text=I feel great ! 
27-1	1064-1065	I	_	_	*->16-2	*[16]
27-2	1066-1070	feel	_	_	_	_
27-3	1071-1076	great	_	_	_	_
27-4	1077-1078	!	_	_	_	_

#Text=" Tonraq says : " You guys get everyone out of here . 
28-1	1079-1080	"	_	_	_	_
28-2	1081-1087	Tonraq	*	PER	*->17-1	*[17]
28-3	1088-1092	says	_	_	_	_
28-4	1093-1094	:	_	_	_	_
28-5	1095-1096	"	_	_	_	_
28-6	1097-1100	You	_	_	*->16-3	*[16]
28-7	1101-1105	guys	_	_	*->18-1	*[18]
28-8	1106-1109	get	_	_	_	_
28-9	1110-1118	everyone	_	_	_	_
28-10	1119-1122	out	_	_	_	_
28-11	1123-1125	of	_	_	_	_
28-12	1126-1130	here	_	_	_	_
28-13	1131-1132	.	_	_	_	_

#Text=I 'll search for Korra . 
29-1	1133-1134	I	_	_	*->17-2	*[17]
29-2	1135-1138	'll	_	_	_	_
29-3	1139-1145	search	_	_	_	_
29-4	1146-1149	for	_	_	_	_
29-5	1150-1155	Korra	_	_	_	_
29-6	1156-1157	.	_	_	_	_

#Text=" Mako says : " We 're going with you . 
30-1	1158-1159	"	_	_	_	_
30-2	1160-1164	Mako	*	PER	*->19-1	*[19]
30-3	1165-1169	says	_	_	_	_
30-4	1170-1171	:	_	_	_	_
30-5	1172-1173	"	_	_	_	_
30-6	1174-1176	We	_	_	*->18-2	*[18]
30-7	1177-1180	're	_	_	_	_
30-8	1181-1186	going	_	_	_	_
30-9	1187-1191	with	_	_	_	_
30-10	1192-1195	you	_	_	*->17-3	*[17]
30-11	1196-1197	.	_	_	_	_

#Text=" Jinora says : " You do n't have to search for her . 
31-1	1198-1199	"	_	_	_	_
31-2	1200-1206	Jinora	*	PER	*->10-5	*[10]
31-3	1207-1211	says	_	_	_	_
31-4	1212-1213	:	_	_	_	_
31-5	1214-1215	"	_	_	_	_
31-6	1216-1219	You	_	_	*->11-2	*[11]
31-7	1220-1222	do	_	_	_	_
31-8	1223-1226	n't	_	_	_	_
31-9	1227-1231	have	_	_	_	_
31-10	1232-1234	to	_	_	_	_
31-11	1235-1241	search	_	_	_	_
31-12	1242-1245	for	_	_	_	_
31-13	1246-1249	her	_	_	*->19-2	*[19]
31-14	1250-1251	.	_	_	_	_

#Text=I know exactly where she 's being held . 
32-1	1252-1253	I	_	_	*->10-6	*[10]
32-2	1254-1258	know	_	_	_	_
32-3	1259-1266	exactly	_	_	_	_
32-4	1267-1272	where	_	_	_	_
32-5	1273-1276	she	_	_	*->19-3	*[19]
32-6	1277-1279	's	_	_	_	_
32-7	1280-1285	being	_	_	_	_
32-8	1286-1290	held	_	_	_	_
32-9	1291-1292	.	_	_	_	_

#Text=" 
33-1	1293-1294	"	_	_	_	_
